192.168.16.10,CRM-WW             
192.168.16.11,CRM-NG             
192.168.16.12,CRM-SP             
192.168.16.13,CRM-DP             
192.168.16.14,CRM-BK             
192.168.16.20,WiFi-Node1         
192.168.16.21,WiFi-Node2         
192.168.16.31,WS21-Scanner       
192.168.16.32,WS23-Win7-Support  
192.168.16.34,WS27-DavidLangford 
192.168.16.35,WS28-William       
192.168.16.37,Windows10Pro-NPG
dummy,dummy
192.168.16.50,Phone-PolyCom1     
192.168.16.51,Phone-PolyCom2     
192.168.16.52,Phone-PolyCom3     
192.168.16.53,Phone-PolyCom4     
192.168.16.54,Phone-PolyCom5     
192.168.16.55,Phone-PolyCom6     
192.168.16.58,DI-HOST            
192.168.16.59,DINAS              
192.168.16.60,DI-HOST2           
8.8.8.8,Internet
